ID,Üniversite,Bölüm,En Küçük Puan
188,GALATASARAY UNIVERSITESI,Iktisat,496.103
189,DOGU AKDENIZ UNIVERSITESI,Tip,495.73908
190,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Isletme,495.70526
191,ORTA DOGU TEKNIK UNIVERSITESI,Fizik,495.67871
192,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Bilgisayar Muhendisligi,495.41394
193,BOGAZICI UNIVERSITESI,Dilbilimi,495.282
194,ISTANBUL YENI YUZYIL UNIVERSITESI,Tip,495.24809
195,YASAR UNIVERSITESI,Yazilim Muhendisligi,495.19932
196,BAHCESEHIR UNIVERSITESI,Mekatronik Muhendisligi,495.0044
197,KOC UNIVERSITESI,Endustri Muhendisligi,495.0
198,BEZM-I ÂLEM VAKIF UNIVERSITESI,Dis Hekimligi,494.9052
199,ISTANBUL SAGLIK VE TEKNOLOJI UNIVERSITESI,Tip,494.86866
200,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Kimya,494.78804
201,YEDITEPE UNIVERSITESI,Eczacilik,494.7676
202,OZYEGIN UNIVERSITESI,Uluslararasi Ticaret ve Isletmecilik,494.75736
203,MALTEPE UNIVERSITESI,Bilgisayar Muhendisligi,494.69394
204,ISTANBUL MEDIPOL UNIVERSITESI,Elektrik-Elektronik Muhendisligi,494.69093
205,ISTANBUL TEKNIK UNIVERSITESI,Fizik Muhendisligi,494.3693
206,ISTANBUL AREL UNIVERSITESI,Tip,494.33394
207,ANKARA UNIVERSITESI,Dis Hekimligi,494.32931
208,BOGAZICI UNIVERSITESI,Psikoloji,494.29375
209,ISTANBUL MEDIPOL UNIVERSITESI,Dis Hekimligi,494.20059
210,ATILIM UNIVERSITESI,Bilgisayar Muhendisligi,494.06867
211,GAZIANTEP UNIVERSITESI,Tip,493.96106
212,ISTANBUL AYDIN UNIVERSITESI,Bilgisayar Muhendisligi,493.88064
213,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Iktisat,493.81489
214,ISTANBUL NISANTASI UNIVERSITESI,Tip,493.47807
215,IZMIR KATIP CELEBI UNIVERSITESI,Elektronik ve Haberlesme Muhendisligi,493.05271
216,SANKO UNIVERSITESI,Tip,492.9874
217,IZMIR DEMOKRASI UNIVERSITESI,Tip,492.65536
218,BAHCESEHIR UNIVERSITESI,Enerji Sistemleri Muhendisligi,492.63879
219,BASKENT UNIVERSITESI,Elektrik-Elektronik Muhendisligi,492.38085
220,ATATURK UNIVERSITESI,Tip,492.17398
221,ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,Molekuler Biyoloji ve Genetik,492.02545
222,GALATASARAY UNIVERSITESI,Uluslararasi Iliskiler,492.02201
223,ORTA DOGU TEKNIK UNIVERSITESI,Isletme,491.94769
224,IZMIR EKONOMI UNIVERSITESI,Endustri Muhendisligi,491.78063
225,ISTANBUL TEKNIK UNIVERSITESI,Gemi Insaati ve Gemi Makineleri Muhendisligi,491.43774
226,MARMARA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,491.25802
227,AKDENIZ UNIVERSITESI,Bilgisayar Muhendisligi,491.23825
228,GALATASARAY UNIVERSITESI,Iletisim,491.0
229,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Psikoloji,491.0
230,OZYEGIN UNIVERSITESI,Hukuk,490.95125
231,BAHCESEHIR UNIVERSITESI,Dis Hekimligi,490.72173
232,OSTIM TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,490.67305
233,GALATASARAY UNIVERSITESI,Fransiz Dili ve Edebiyati,490.21389
234,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Tip,490.1915
235,ICISLERI BAKANLIGI VE MILLI SAVUNMA BAKANLIGI ADINA SAGLIK BILIMLERI UNIVERSITESINDE EGITIM ALACAKLAR,Tip,490.0018
236,MEF UNIVERSITESI,Endustri Muhendisligi,489.93256
237,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Biyomedikal Muhendisligi,489.8107
238,GAZI UNIVERSITESI,Endustri Muhendisligi,489.68874
239,YEDITEPE UNIVERSITESI,Hukuk,489.54203
240,ESKISEHIR OSMANGAZI UNIVERSITESI,Ucak Muhendisligi,489.52134
241,ISTANBUL BILGI UNIVERSITESI,Endustri Muhendisligi,488.98086
242,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Uluslararasi Girisimcilik,488.83341
243,BASKENT UNIVERSITESI,Dis Hekimligi,488.82294
244,ISTINYE UNIVERSITESI,Bilgisayar Muhendisligi,488.79466
245,ORTA DOGU TEKNIK UNIVERSITESI,Iktisat,488.77121
246,OZYEGIN UNIVERSITESI,Girisimcilik,488.73191
247,ANKARA MEDIPOL UNIVERSITESI,Dis Hekimligi,488.64739
248,INONU UNIVERSITESI,Tip,488.60465
249,ACIBADEM MEHMET ALI AYDINLAR UNIVERSITESI,Eczacilik,488.52526
250,BOGAZICI UNIVERSITESI,Ingilizce Ogretmenligi,488.1409
251,ANKARA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,487.92874
252,GALATASARAY UNIVERSITESI,Matematik,487.91485
253,YEDITEPE UNIVERSITESI,Ceviribilimi,487.79662
254,GEBZE TEKNIK UNIVERSITESI,Endustri Muhendisligi,487.61861
255,KADIR HAS UNIVERSITESI,Elektrik-Elektronik Muhendisligi,487.55339
256,ISTANBUL TEKNIK UNIVERSITESI,Ekonomi,487.49685
257,HACETTEPE UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,487.44458
258,TURK HAVA KURUMU UNIVERSITESI,Uzay Muhendisligi,487.42318
259,OZYEGIN UNIVERSITESI,Uluslararasi Iliskiler,487.39085
260,IZMIR EKONOMI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,487.3661
261,ISTANBUL UNIVERSITESI-CERRAHPASA,Dis Hekimligi,487.08301
262,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Ingiliz Dili ve Edebiyati,486.99234
263,ORTA DOGU TEKNIK UNIVERSITESI,Bilgisayar Muhendisligi,486.98059
264,IZMIR EKONOMI UNIVERSITESI,Ingilizce Mutercim ve Tercumanlik,486.67018
265,ATILIM UNIVERSITESI,Yazilim Muhendisligi,486.65342
266,KOC UNIVERSITESI,Matematik,486.57942
267,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Yazilim Muhendisligi,486.36591
268,SIIRT UNIVERSITESI,Tip,486.23608
269,KOC UNIVERSITESI,Karsilastirmali Edebiyat,485.97658
270,IHSAN DOGRAMACI BILKENT UNIVERSITESI,Siyaset Bilimi ve Kamu Yonetimi,485.68443
271,KADIR HAS UNIVERSITESI,Endustri Muhendisligi,485.59618
272,ORTA DOGU TEKNIK UNIVERSITESI,Psikoloji,485.45804
273,ISTANBUL TEKNIK UNIVERSITESI,Mimarlik,485.23127
274,ORTA DOGU TEKNIK UNIVERSITESI,Ingilizce Ogretmenligi,485.04593
275,YEDITEPE UNIVERSITESI,Ekonomi,485.04232
276,ISTANBUL AYDIN UNIVERSITESI,Yazilim Muhendisligi,484.75035
277,BIRUNI UNIVERSITESI,Dis Hekimligi,484.69244
278,MEF UNIVERSITESI,Elektrik-Elektronik Muhendisligi,484.55239
279,YILDIZ TEKNIK UNIVERSITESI,Kimya Muhendisligi,484.45434
280,OSTIM TEKNIK UNIVERSITESI,Yazilim Muhendisligi,484.09541
281,YAKIN DOGU UNIVERSITESI,Tip,483.86975
282,ORTA DOGU TEKNIK UNIVERSITESI,Endustriyel Tasarim,483.86398
283,ORTA DOGU TEKNIK UNIVERSITESI,Mimarlik,483.63252
284,BAHCESEHIR UNIVERSITESI,Molekuler Biyoloji ve Genetik,483.39533
285,BAHCESEHIR UNIVERSITESI,Biyomedikal Muhendisligi,482.83385
286,GIRNE UNIVERSITESI,Tip,482.74792
287,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Psikoloji,482.66555
288,ICISLERI BAKANLIGI VE MILLI SAVUNMA BAKANLIGI ADINA SAGLIK BILIMLERI UNIVERSITESINDE EGITIM ALACAKLAR,Dis Hekimligi,482.38329
289,LOKMAN HEKIM UNIVERSITESI,Dis Hekimligi,482.34352
290,MALTEPE UNIVERSITESI,Yazilim Muhendisligi,481.85281
291,ISTANBUL UNIVERSITESI,Eczacilik,481.68679
292,ISTINYE UNIVERSITESI,Dis Hekimligi,481.4308
293,ISTANBUL BEYKENT UNIVERSITESI,Bilgisayar Muhendisligi,481.42929
294,YEDITEPE UNIVERSITESI,Yonetim Bilisim Sistemleri,481.30671
295,ORTA DOGU TEKNIK UNIVERSITESI,Yazilim Muhendisligi,481.23462
296,ORTA DOGU TEKNIK UNIVERSITESI,Uluslararasi Iliskiler,481.21573
297,ISTANBUL BILGI UNIVERSITESI,Karsilastirmali Edebiyat,481.10875
298,TURK HAVA KURUMU UNIVERSITESI,Bilgisayar Muhendisligi,480.71967
299,IZMIR TINAZTEPE UNIVERSITESI,Dis Hekimligi,480.71664
300,ORTA DOGU TEKNIK UNIVERSITESI,Biyoloji,480.51027
301,CANKAYA UNIVERSITESI,Elektrik-Elektronik Muhendisligi,480.50984
302,IZMIR KATIP CELEBI UNIVERSITESI,Makine Muhendisligi,480.50867
303,ISTANBUL BILGI UNIVERSITESI,Elektrik-Elektronik Muhendisligi,480.38083
304,IZMIR KATIP CELEBI UNIVERSITESI,Dis Hekimligi,480.34081
305,BASKENT UNIVERSITESI,Molekuler Biyoloji ve Genetik,480.20488
306,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Siyaset Bilimi ve Uluslararasi Iliskiler,480.11511
307,ISTANBUL AYDIN UNIVERSITESI,Dis Hekimligi,480.10078
308,BOGAZICI UNIVERSITESI,Turizm Isletmeciligi,480.00288
309,ANADOLU UNIVERSITESI,Uluslararasi Ticaret ve Lojistik,480.0
310,ORTA DOGU TEKNIK UNIVERSITESI,Kimya,479.8957
311,YEDITEPE UNIVERSITESI,Matematik,479.89316
312,BURSA ULUDAG UNIVERSITESI,Tip,479.87786
313,EGE UNIVERSITESI,Elektrik-Elektronik Muhendisligi,479.83589
314,TOBB EKONOMI VE TEKNOLOJI UNIVERSITESI,Endustriyel Tasarim,479.60999
315,ALTINBAS UNIVERSITESI,Hukuk,479.3329
316,YEDITEPE UNIVERSITESI,Psikoloji,479.247
317,USKUDAR UNIVERSITESI,Dis Hekimligi,479.03244
318,GALATASARAY UNIVERSITESI,Siyaset Bilimi,479.03009
319,ANKARA BILIM UNIVERSITESI,Bilgisayar Muhendisligi,478.97169
320,YASAR UNIVERSITESI,Endustri Muhendisligi,478.94141
321,ISTANBUL OKAN UNIVERSITESI,Dis Hekimligi,478.87712
322,ANKARA YILDIRIM BEYAZIT UNIVERSITESI,Havacilik ve Uzay Muhendisligi,478.64198
323,ISTANBUL MEDIPOL UNIVERSITESI,Endustri Muhendisligi,478.33406
324,ISIK UNIVERSITESI,Bilgisayar Muhendisligi,478.04244
